Symbol,Price,Day
TCELL,"97,9",2025-10-13
TTKOM,51,2025-10-13
THYAO,309,2025-10-13
AEFES,"13,72",2025-10-13
BIMAS,546,2025-10-13
KOZAL,"24,58",2025-10-13
MGROS,"445,25",2025-10-13
SISE,"34,46",2025-10-13
ULKER,"102,5",2025-10-13
SAHOL,"81,15",2025-10-13
EREGL,"27,4",2025-10-13
EKGYO,"19,04",2025-10-13
TOASO,257,2025-10-13
PGSUS,"211,2",2025-10-13
ASTOR,"89,65",2025-10-13
FROTO,"92,65",2025-10-13
YKBNK,"30,28",2025-10-13
TUPRS,"172,5",2025-10-13
KRDMD,"25,6",2025-10-13
GARAN,"126,7",2025-10-13
KCHOL,160,2025-10-13
AKBNK,"55,95",2025-10-13
SASA,"3,02",2025-10-13
ISCTR,"12,03",2025-10-13
DSTKF,"462,5",2025-10-13
PETKM,"19,54",2025-10-10
GUBRF,291,2025-10-10
TCELL,"100,2",2025-10-10
TOASO,273,2025-10-10
ASELS,"213,5",2025-10-10
ENKAI,70,2025-10-10
TAVHL,"237,8",2025-10-10
TTKOM,"51,95",2025-10-10
THYAO,"313,75",2025-10-10
EKGYO,"19,82",2025-10-10
AEFES,"13,82",2025-10-10
TUPRS,"180,6",2025-10-10
KOZAL,"24,82",2025-10-10
ULKER,"104,7",2025-10-10
KCHOL,"165,1",2025-10-10
SISE,"35,04",2025-10-10
SAHOL,"82,4",2025-10-10
BIMAS,544,2025-10-10
MGROS,"447,23",2025-10-10
PGSUS,"215,6",2025-10-10
EREGL,"27,86",2025-10-10
ASTOR,"91,85",2025-10-10
YKBNK,"30,96",2025-10-10
AKBNK,"57,5",2025-10-10
KRDMD,"26,48",2025-10-10
GARAN,"130,1",2025-10-10
FROTO,"93,55",2025-10-10
SASA,"3,12",2025-10-10
ISCTR,"12,16",2025-10-10
DSTKF,460,2025-10-10
PETKM,"19,38",2025-10-09
TOASO,275,2025-10-09
GUBRF,290,2025-10-09
ASELS,"219,2",2025-10-09
TCELL,"100,4",2025-10-09
KOZAL,"25,5",2025-10-09
THYAO,"312,5",2025-10-09
TTKOM,"51,6",2025-10-09
ENKAI,"68,35",2025-10-09
AEFES,"13,78",2025-10-09
TAVHL,235,2025-10-09
TUPRS,"183,1",2025-10-09
MGROS,"448,97",2025-10-09
ULKER,"103,9",2025-10-09
BIMAS,"543,5",2025-10-09
KCHOL,"167,5",2025-10-09
EKGYO,"19,51",2025-10-09
PGSUS,"216,4",2025-10-09
SISE,35,2025-10-09
EREGL,28,2025-10-09
KRDMD,"26,64",2025-10-09
SAHOL,"81,9",2025-10-09
YKBNK,"31,2",2025-10-09
ASTOR,"91,05",2025-10-09
FROTO,"94,05",2025-10-09
GARAN,130,2025-10-09
AKBNK,"57,35",2025-10-09
SASA,"3,11",2025-10-09
ISCTR,"12,1",2025-10-09
DSTKF,"475,25",2025-10-09
TOASO,"282,75",2025-10-08
PETKM,"19,15",2025-10-08
TCELL,"98,45",2025-10-08
GUBRF,"287,25",2025-10-08
KOZAL,"25,4",2025-10-08
ASELS,"215,6",2025-10-08
BIMAS,556,2025-10-08
AEFES,"13,95",2025-10-08
